Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,1902.402119,1961.538169,2020.385965,2020.265248,2199.727007,2282.216546,2630.850466,2982.749704,2830.188679,3053.703704,3387.272727,3866.300366,4343.173432,5009.29368,5853.932584,6509.433962,7261.278195,8370.786517,8876.865672,9613.3829,11218.21782,13425.97697,14166.17129,15902.02038,17469.82557,18269.53552,20450.66453,22411.79567,24253.17552,25517.92172,26841.51974,27700.30952,28669.68226,30900.69489,31476.06312,33989.72236,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,,,
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,152.4617632,162.695619,174.4934315,184.2754408,203.6012515,223.2783299,239.375089,255.8479061,210.1897929,218.5560983,225.748499,238.1114415,267.6865801,263.2105572,428.4324268,480.0505726,533.6275535,616.667074,702.4291799,808.4191206,811.7773315,1031.516342,958.6872467,909.8474557,1013.800438,865.69025,624.71542,672.5651749,697.3705601,701.4646141,709.9486541,764.1413321,791.381317,788.3991365,806.2211259,887.4682897,958.4735178,1006.964099,1058.718354,1012.510021,1007.002869,958.2363141,913.5758534,917.3643105,978.3347576,1046.427843,1233.592974,1389.629295,1736.92741,1776.860912,1981.166313,2377.70694,2645.291999,2948.032472,3124.085434,3076.791811,
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,1435.210963,1627.274553,1497.321977,1597.387987,1906.809723,2059.600662,2275.577548,2879.49987,3071.627953,3942.403941,2578.207009,2774.174127,3482.529816,4827.152443,5144.64366,5260.463813,5065.336705,3461.612858,3728.50801,3135.155229,2805.717257,3040.506496,3596.22458,4730.653468,5808.340547,7246.870105,8706.819142,8474.881066,11121.42095,13039.12165,12157.30822,12071.77799,11728.79939,8538.589975,
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,4013.783019,4402.183665,4585.873516,4855.412101,5278.448194,5508.327412,6028.675247,6616.387172,7012.468461,7733.141433,7728.507914,7733.990048,7464.86568,7842.411925,8148.344073,8537.0619,9069.137645,9549.795369,10727.46413,11200.43824,11568.49594,11513.82936,11675.35094,12028.37193,12868.86309,14223.65813,15645.99903,16462.24711,16570.55935,16523.38297,15906.18932,15534.1733,15385.11637,15473.09806,15360.0618,15429.34046,
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,1112.316466,1235.536486,1233.85202,1360.845574,1301.402944,1380.416864,1455.415568,1909.378126,2924.973178,6953.444643,7265.619224,8506.909588,9968.135727,10765.31936,15010.65393,25530.41308,21925.78865,20795.04312,18227.22449,17439.58121,15797.482,10280.76619,11672.44444,11084.31535,11954.40013,13701.89704,14002.10713,15381.31391,14678.07159,14220.63634,16046.98158,16913.93536,16779.33847,12784.76622,14205.77372,18154.83493,16616.79805,17016.94349,18758.98089,22131.94606,26337.91811,31157.68845,32707.70431,37798.3935,27726.48105,34852.02398,46377.88114,46973.93793,43970.53194,41023.88988,30554.72967,
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,328.8078494,345.3553417,342.8625161,372.2797565,371.0852954,367.1936676,415.9357837,505.4026208,548.9719598,521.364502,559.8216186,467.65687,474.9128636,453.3890923,529.5484886,595.5104134,617.5547709,702.5389844,706.5620391,764.1242599,778.391266,820.2028589,897.4453332,1009.006232,1107.920596,1257.54864,1346.085775,1755.161709,1810.576177,1786.810672,2201.293078,2485.787052,2452.151588,2383.04473,2560.522132,2655.998892,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,58.03384675,61.31953877,64.81014553,67.50089133,71.80683331,76.86002926,83.96382153,92.89500193,101.8063206,115.2405136,138.8750098,177.3575384,223.3893749,319.0426733,386.1693195,432.0634861,435.697999,508.7052495,639.4499923,854.3291052,1064.796443,1039.435165,948.5812214,1058.827025,1083.956064,942.3822454,1139.91857,1558.813285,2034.121209,2301.68118,2747.208438,2776.423062,2839.196963,2772.732774,2767.35374,3001.102631,3007.613623,3050.233587,2854.673402,3210.23188,3333.17955,3114.616594,3044.127353,4149.041377,4879.459462,5327.853518,5342.140336,5666.637848,5561.898243,5115.121464,6243.998831,7504.848476,6885.843598,6806.658939,7153.447859,6360.13822,
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,74.59629156,80.52069668,79.96805263,81.58781275,87.85880085,91.32222018,93.84543458,95.32441667,109.2530092,104.9238018,103.4098105,108.0305736,121.1751806,139.9739036,142.4105391,187.6989977,218.8411692,240.6061612,282.8266071,316.5313208,350.4902077,296.8917127,310.2850503,264.991111,249.301377,329.162619,416.9955124,436.5396837,450.1869824,429.7903616,490.3995176,457.4552983,457.0583079,403.2931149,261.6021372,334.3654767,294.9204314,268.0862195,270.4307455,273.5813579,245.4343849,245.5632726,256.8506088,290.5096583,318.4837946,332.9466401,353.8944517,404.1131819,463.8276186,454.3693169,446.8002046,488.3573422,472.8182181,322.3665933,354.4519011,323.201674,
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2294.568814,2231.293824,2255.230044,2354.839122,2529.518179,2739.585849,3010.705908,3173.076194,3411.060154,3703.990405,4121.932809,4586.255848,5141.616725,5870.600564,7043.474351,7489.940531,8783.721592,8892.76168,9096.058722,10012.44397,11135.43799,12297.78569,12439.74784,13377.89565,13826.64999,14060.46178,14403.8287,16245.45168,18864.26292,20638.29005,21371.2911,21664.59864,20771.25035,20017.42985,19859.20398,20577.48939,21183.22008,21770.13408,20887.83947,22167.22585,24124.16917,23691.59472,24167.80431,28172.14883,31979.87195,36189.58838,40386.69948,44544.5268,46596.33599,40773.45436,47445.76193,52083.82622,52495.28847,52266.17568,50185.4815,43248.52991,
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2312.627645,2199.934574,2361.907068,2488.294564,2824.066219,3512.905768,3766.13713,3735.598237,4097.242898,3977.487127,3943.98781,4342.408538,4920.671346,5938.488858,7157.125518,8336.082403,9452.351782,11951.68719,14489.15052,12197.87376,12557.38267,13885.00308,12995.92103,13704.00092,14124.33673,12403.32867,
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,1787.360348,1971.316323,2131.391652,2294.182847,2501.29319,2620.475547,2784.733548,2960.722586,3121.889031,3344.783603,,,,,,,,,,,18785.03644,17110.44514,17434.88509,17298.56641,16457.82916,16613.62848,23691.97026,29484.873,31664.15929,30325.75893,38332.15172,38303.04989,39435.53813,38005.32345,41738.97019,48540.57749,46610.05975,40429.93726,41487.69019,40577.33663,37813.23426,38538.64447,41336.72192,47960.56497,53255.97631,54797.54663,57348.92788,63223.46778,72119.56087,69672.00471,74277.12051,88002.60957,83164.38795,84658.88768,85814.58857,80945.07922,
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40538.06446,42406.93285,43299.40114,41609.01948,44158.04026,48227.66551,55844.11669,57209.24916,62260.22555,73568.23483,,,,,,,,,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,526.3629668,575.3243006,662.7400257,680.488628,695.8440569,693.4305256,786.7430699,763.7882248,767.4181263,874.1076312,937.3515571,1098.636989,1164.912571,1625.503542,1514.990144,693.4805864,931.3423204,1243.135837,1411.768525,1872.574656,2454.288156,2863.462522,2103.823804,1683.725609,1613.294224,1361.515363,1440.364457,1671.166627,1937.710621,2195.54149,2401.525181,2727.573825,3277.669086,3461.435092,3942.967594,5026.720634,5263.191366,5674.153008,5367.211824,4872.692148,5229.177098,4709.9234,4566.523326,4948.74818,6323.75764,7728.611897,9500.835162,10513.54071,10791.02019,10217.31403,12785.05187,14582.17052,15253.33083,15764.75545,14566.14905,13416.23004,
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,89.52054151,75.80583793,70.90941167,74.31364345,85.49855516,98.48677775,104.3245662,96.58953194,91.47271831,100.1299033,113.1629916,118.6545778,131.8835612,157.0903743,160.1400937,178.3418196,165.4055404,185.4228329,156.3962814,183.9852309,194.8055257,197.0701634,203.3368064,225.4310265,250.7138896,294.4572943,281.9293584,251.8120671,283.5379478,310.8811572,317.8851981,333.1417146,366.4602759,377.3895183,473.4927622,609.6567653,709.4134628,781.743728,828.5804103,873.2872953,959.3721081,1053.108024,1148.508057,1288.642924,1508.668462,1753.4178,2099.229676,2695.366223,3471.247547,3838.434292,4560.512487,5633.796106,6337.882993,7077.770594,7683.502038,8027.68381,
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,157.193366,171.6359707,172.5127195,195.6490057,227.4412802,217.9687787,232.7478332,235.867296,267.2454349,271.6764081,277.6625084,288.674465,321.7673431,416.5840422,486.7125952,589.4045376,674.0674001,865.6456338,1043.723411,1155.521386,1231.087668,977.2245034,840.5658232,728.7621023,700.3342389,686.9095689,868.2379319,922.0900527,904.5655908,830.7928066,887.3854068,832.6844214,854.8364234,818.2228303,595.7925412,763.6689247,817.3361967,766.3339328,801.8595646,766.9336227,648.8107641,663.6413459,718.453113,875.0860951,929.893384,942.2163849,962.9184427,1078.541502,1257.675582,1233.304856,1236.085198,1231.867834,1281.382865,1445.910582,1544.321337,1398.989958,
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,115.4073183,120.1198834,125.0272985,126.52689,133.7305665,135.9693704,139.1730815,148.7211068,163.5935173,174.5961944,171.3200287,177.5821334,200.5713931,240.0051359,299.5465686,355.6461676,386.5308664,411.1424582,523.3887962,670.0101965,754.6647173,829.934209,772.4073602,755.5205152,774.7026149,784.909612,992.4963993,1115.211413,1098.755836,950.7620665,923.8812243,1000.326541,890.5636811,1027.567353,680.6371437,626.9560402,679.7651939,668.972082,637.3608604,675.9238649,583.0948382,589.2039195,648.3996054,791.1064754,892.8987777,915.0912877,965.3686883,1070.954675,1191.709554,1164.717254,1147.242347,1258.924651,1222.192142,1331.200021,1407.403413,1217.26067,
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,129.9667837,145.846825,155.9755752,157.0753458,164.826376,171.2731734,185.333342,193.9456508,199.5310144,204.4845846,205.9491868,234.0725143,289.3453225,370.1872355,387.6895087,492.8679785,470.5799887,463.4536207,516.991172,685.055005,946.7770499,1074.443245,1130.751814,1065.90697,1083.078904,1037.062182,863.1240066,1043.434625,977.9183315,1028.272862,1172.757072,1112.128364,1166.334463,743.410575,667.6941418,777.5775374,908.7216322,808.2852124,660.1673277,776.3632945,1035.584462,877.626394,927.2695886,1049.317595,1362.198833,1737.611546,2144.834943,2259.269413,3094.10972,2428.260233,2953.185008,3453.221229,3191.164299,3205.457783,3147.071524,1851.199916,
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,245.1974513,268.0974023,283.9175203,268.3244282,322.4722041,302.454089,276.4887517,281.9699165,283.1111284,298.0523648,326.2903148,345.8511021,374.6244668,435.7328696,510.9888608,529.0887548,605.8189813,751.6258412,877.7964296,1030.497757,1204.154951,1282.364438,1342.468309,1304.601258,1260.39596,1125.202008,1103.338567,1125.261114,1189.14075,1175.93268,1175.149339,1181.081508,1385.866438,1541.712284,2218.784589,2470.683425,2553.549558,2759.95289,2509.139825,2164.432929,2472.19777,2395.856551,2355.725743,2246.257686,2740.249827,3386.025444,3709.076914,4674.21171,5433.706412,5148.411344,6250.6545,7227.77083,7885.061292,8030.690861,7918.0789,6056.147717,
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,400.3190767,358.6024473,326.1395511,330.0834269,309.28051,320.0486893,441.0119446,517.4904543,530.4501405,493.1307853,602.2747788,577.2891245,604.6333472,581.5867023,398.3663677,483.5462923,467.5569374,418.7347805,414.0760238,416.8883719,372.1890022,391.957281,428.789839,538.697658,609.640698,614.8613273,640.7429838,712.1200098,786.1795769,768.733746,759.2631309,818.8613057,778.1058844,823.0230023,841.2055558,717.44885,
